Gender,Age,Height,Weight,NOC,Year,Season,Host_City,Events,Medal
Male,33,,,ARM,2024,Summer,Paris,Wrestling Men's Greco-Roman 97kg,Silver 
Male,25,,,ARM,2024,Summer,Paris,Wrestling Men's Greco-Roman 77kg,Bronze 
Male,28,,,ARM,2024,Summer,Paris,Wrestling Men's Greco-Roman 67kg,
Male,25,,,ARM,2024,Summer,Paris,Wrestling Men's Freestyle 57kg,
Male,25,,,ARM,2024,Summer,Paris,Wrestling Men's Freestyle 65kg,
Female,31,162,,COL,2024,Summer,Paris,"Athletics Women's 20km Race Walk, 'Marathon Race Walk Relay Mixed'",
Male,35,,,JAM,2024,Summer,Paris,Judo 'Men -60 kg',
Female,29,161,,GAM,2024,Summer,Paris,"Athletics Women's 100m, Women's 200m",
Male,28,178,,GAM,2024,Summer,Paris,Athletics Men's 100m,
Female,30,,,MEX,2024,Summer,Paris,Triathlon Women's Individual,
Male,37,,,MEX,2024,Summer,Paris,Triathlon Men's Individual,
Male,27,183,,COM,2024,Summer,Paris,Athletics Men's 100m,
Female,17,,,COM,2024,Summer,Paris,Swimming Women's 50m Freestyle,
Female,34,,,MEX,2024,Summer,Paris,"Artistic Swimming 'Team', 'Duet'",
Female,30,,,MEX,2024,Summer,Paris,Artistic Swimming 'Team',
Male,28,,,IRQ,2024,Summer,Paris,Judo 'Men -81 kg',
Male,20,,,IRQ,2024,Summer,Paris,Weightlifting Men's +102kg,
Male,27,170,,DJI,2024,Summer,Paris,Athletics Men's 5000m,
Male,27,170,,DJI,2024,Summer,Paris,Athletics Men's Marathon,
Female,25,160,,DJI,2024,Summer,Paris,Athletics Women's 5000m,
Male,20,,,DJI,2024,Summer,Paris,Swimming Men's 50m Freestyle,
Male,27,,,COM,2024,Summer,Paris,"Canoe Slalom Men's Kayak Single, Men's Kayak Cross",
Male,23,178,,MEX,2024,Summer,Paris,Boxing Men's 63.5kg,
Male,22,180,,MEX,2024,Summer,Paris,Boxing Men's 71kg,Silver 
Female,25,158,,MEX,2024,Summer,Paris,"Athletics Women's 20km Race Walk, 'Marathon Race Walk Relay Mixed'",
Male,27,190,,MEX,2024,Summer,Paris,Athletics Men's 800m,
Male,24,190,,MEX,2024,Summer,Paris,Athletics Men's High Jump,
Male,29,185,,MEX,2024,Summer,Paris,Athletics Men's Shot Put,
Male,30,185,,MEX,2024,Summer,Paris,Athletics Men's Hammer Throw,
Male,28,175,,MEX,2024,Summer,Paris,Athletics Men's 20km Race Walk,
Female,27,169,,MEX,2024,Summer,Paris,Athletics Women's 400m,
